"review_group","review_words","word_count","count_normalise","game"
"Negative reviews","gameplay",209,0.00149077006476647,"Crusader Kings III"
"Negative reviews","instead",207,0.0014765043225199,"Crusader Kings III"
"Negative reviews","little",206,0.00146937145139662,"Crusader Kings III"
"Negative reviews","thing",205,0.00146223858027333,"Crusader Kings III"
"Negative reviews","worth",205,0.00146223858027333,"Crusader Kings III"
"Negative reviews","armies",201,0.00143370709578019,"Crusader Kings III"
"Negative reviews","take",201,0.00143370709578019,"Crusader Kings III"
"Negative reviews","point",200,0.00142657422465691,"Crusader Kings III"
"Negative reviews","least",198,0.00141230848241034,"Crusader Kings III"
"Negative reviews","different",197,0.00140517561128706,"Crusader Kings III"
"Negative reviews","far",196,0.00139804274016377,"Crusader Kings III"
"Negative reviews","find",196,0.00139804274016377,"Crusader Kings III"
"Negative reviews","review",195,0.00139090986904049,"Crusader Kings III"
"Negative reviews","less",194,0.0013837769979172,"Crusader Kings III"
"Negative reviews","everything",192,0.00136951125567063,"Crusader Kings III"
"Positive reviews","game",24887,0.0410389430497474,"Crusader Kings III"
"Positive reviews","ck2",6821,0.0112479057557089,"Crusader Kings III"
"Positive reviews","good",6034,0.00995013389971373,"Crusader Kings III"
"Positive reviews","like",5661,0.00933505270239964,"Crusader Kings III"
"Positive reviews","10",5536,0.00912892629579304,"Crusader Kings III"
"Positive reviews","can",5022,0.00828133451182671,"Crusader Kings III"
"Positive reviews","great",4718,0.00778003509095946,"Crusader Kings III"
"Positive reviews","fun",4269,0.00703962903842856,"Crusader Kings III"
"Positive reviews","get",4074,0.00671807184412226,"Crusader Kings III"
"Positive reviews","play",4006,0.00660593907892827,"Crusader Kings III"
"Positive reviews","just",3987,0.00657460786512407,"Crusader Kings III"
"Positive reviews","paradox",3754,0.00619038824320937,"Crusader Kings III"
"Positive reviews","time",3588,0.00591665237523581,"Crusader Kings III"
"Positive reviews","one",3564,0.00587707610516734,"Crusader Kings III"
"Positive reviews","much",3367,0.00555222088835534,"Crusader Kings III"
"Positive reviews","games",3191,0.00526199490785325,"Crusader Kings III"
"Positive reviews","strategy",2973,0.00490251045473134,"Crusader Kings III"
"Positive reviews","really",2957,0.0048761262746857,"Crusader Kings III"
"Positive reviews","new",2951,0.00486623220716858,"Crusader Kings III"
"Positive reviews","hours",2839,0.00468154294684907,"Crusader Kings III"
"Positive reviews","better",2696,0.00444573433769112,"Crusader Kings III"
"Positive reviews","ck3",2693,0.00444078730393256,"Crusader Kings III"
