"success","steam_appid","name","short_description","metacritic.score","release_date","categories","developers","publishers","genres"
TRUE,1158310,"Crusader Kings III","Love, fight, scheme, and claim greatness. Determine your noble house’s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the Middle Ages.",91,"1 Sep, 2020","Single-player|Multi-player|PvP|Online PvP|Steam Achievements|Steam Trading Cards|Steam Workshop|Steam Cloud|Remote Play on Tablet","Paradox Development Studio","Paradox Interactive","RPG|Simulation|Strategy"
TRUE,1303182,"Crusader Kings III: Royal Court","The Royal Court expansion to Crusader Kings III adds new ways to interact with the characters in your kingdom or empire, as well as major changes to the cultural system of the game, adding greater dynamism and historical fluidity.",83,"8 Feb, 2022","Single-player|Multi-player|PvP|Online PvP|Downloadable Content|Steam Achievements|Steam Trading Cards|Steam Cloud","Paradox Development Studio|Paradox Thalassic","Paradox Interactive","RPG|Simulation|Strategy"
